nerdLevel,trust,trustCount
Average User,creators,4161
Average User,friends/fam,4807
Average User,govt,638
Average User,media,753
Average User,orgs,12635
Average User,unsure,8902
Average User,unanswered,333
Luddite,creators,241
Luddite,friends/fam,408
Luddite,govt,59
Luddite,media,34
Luddite,orgs,601
Luddite,unsure,957
Luddite,unanswered,43
Technically Savvy,creators,4776
Technically Savvy,friends/fam,3395
Technically Savvy,govt,671
Technically Savvy,media,1098
Technically Savvy,orgs,16795
Technically Savvy,unsure,8043
Technically Savvy,unanswered,354
Ultra Nerd,creators,1264
Ultra Nerd,friends/fam,650
Ultra Nerd,govt,168
Ultra Nerd,media,250
Ultra Nerd,orgs,5592
Ultra Nerd,unsure,2132
Ultra Nerd,unanswered,149
Undescribed,creators,145
Undescribed,friends/fam,97
Undescribed,govt,28
Undescribed,media,16
Undescribed,orgs,230
Undescribed,unsure,210
Undescribed,unanswered,82
