NerdLevel,Trust,Count
Average User,creators,11052
Average User,friends/fam,12749
Average User,govt,1681
Average User,media,2135
Average User,orgs,27437
Average User,unsure,22598
Average User,(blank),2826
Luddite,creators,666
Luddite,friends/fam,1256
Luddite,govt,208
Luddite,media,130
Luddite,orgs,1536
Luddite,unsure,2988
Luddite,(blank),569
Technically Savvy,creators,11472
Technically Savvy,friends/fam,7491
Technically Savvy,govt,1530
Technically Savvy,media,2460
Technically Savvy,orgs,31397
Technically Savvy,unsure,17454
Technically Savvy,(blank),2134
Ultra Nerd,creators,2658
Ultra Nerd,friends/fam,1378
Ultra Nerd,govt,353
Ultra Nerd,media,559
Ultra Nerd,orgs,9338
Ultra Nerd,unsure,4275
Ultra Nerd,(blank),1056
undescribed,creators,355
undescribed,friends/fam,315
undescribed,govt,98
undescribed,media,60
undescribed,orgs,502
undescribed,unsure,603
undescribed,(blank),9335
