nerd,params,country,score
Technically Savvy,Price,USA,3830.00000000003
Technically Savvy,Price,Canada,794.4999999999987
Technically Savvy,Price,France,5596.799999999992
Technically Savvy,Price,India,1020.799999999997
Technically Savvy,Price,Indonesia,202.0000000000001
Technically Savvy,Price,Mexico,1261.400000000001
Technically Savvy,Price,Bolivia,66.69999999999997
Technically Savvy,Price,Macau,1.2
Technically Savvy,Price,England,1067.2999999999988
Technically Savvy,Price,Tunisia,34.599999999999994
Technically Savvy,Price,Egypt,32.199999999999996
Technically Savvy,Price,Portugal,92.39999999999999
Technically Savvy,Price,Uruguay,87.40000000000005
Technically Savvy,Price,Kenya,61.19999999999999
Technically Savvy,Price,Germany,4510.900000000026
Technically Savvy,Price,Philippines,101.9
Technically Savvy,Price,Panama,37.899999999999984
Technically Savvy,Price,Bangladesh,83.2
Technically Savvy,Price,Turkey,45.7
Technically Savvy,Price,Norway,56.89999999999998
Technically Savvy,Price,Poland,45.10000000000001
Technically Savvy,Price,Sweden,71.39999999999999
Technically Savvy,Price,Serbia,47.29999999999999
Technically Savvy,Price,Brazil,2520.700000000022
Technically Savvy,Price,Argentina,565.699999999999
Technically Savvy,Price,Latvia,15.100000000000001
Technically Savvy,Price,Nigeria,61.30000000000002
Technically Savvy,Price,Italy,5711.199999999976
Technically Savvy,Price,Sri Lanka,23.099999999999998
Technically Savvy,Price,Puerto Rico,20.9
Technically Savvy,Price,Finland,54.9
Technically Savvy,Price,South Africa,107.3
Technically Savvy,Price,Luxembourg,40.3
Technically Savvy,Price,Israel,44.29999999999999
Technically Savvy,Price,Nepal,23.2
Technically Savvy,Price,Peru,144.70000000000007
Technically Savvy,Price,Slovenia,23.9
Technically Savvy,Price,Belgium,402.5
Technically Savvy,Price,Pakistan,68.00000000000001
Technically Savvy,Price,Morocco,99.90000000000003
Technically Savvy,Price,Russia,47.89999999999999
Technically Savvy,Price,Martinique,14.500000000000004
Technically Savvy,Price,Austria,430.4999999999994
Technically Savvy,Price,Switzerland,636.4999999999997
Technically Savvy,Price,Algeria,84.99999999999999
Technically Savvy,Price,Venezuela,237.70000000000013
Technically Savvy,Price,Ecuador,157.8000000000001
Technically Savvy,Price,Colombia,437.59999999999985
Technically Savvy,Price,Costa Rica,93.00000000000001
Technically Savvy,Price,Spain,1115.1999999999966
Technically Savvy,Price,Reunion,55.89999999999999
Technically Savvy,Price,Benin,8.399999999999999
Technically Savvy,Price,Guatemala,69.89999999999998
Technically Savvy,Price,Dominican Republic,49.799999999999976
Technically Savvy,Price,Chile,301.2000000000002
Technically Savvy,Price,Netherlands,152.60000000000016
Technically Savvy,Price,Croatia,45.00000000000001
Technically Savvy,Price,Honduras,30.599999999999998
Technically Savvy,Price,Mauritius,15.1
Technically Savvy,Price,Paraguay,55.79999999999999
Technically Savvy,Price,Macedonia,9.5
Technically Savvy,Price,Cuba,18.1
Technically Savvy,Price,Anonymous Proxy,10.3
Technically Savvy,Price,Czech Republic,39.19999999999999
Technically Savvy,Price,Romania,105.40000000000005
Technically Savvy,Price,Denmark,46.29999999999999
Technically Savvy,Price,Cameroon,26.600000000000005
Technically Savvy,Price,New Zealand,112.50000000000003
Technically Savvy,Price,San Marino,4.3
Technically Savvy,Price,Ireland,96.9
Technically Savvy,Price,Bahrain,4.8
