nerd,params,country,score
Technically Savvy,Price,United States,0.48206419131529643
Technically Savvy,Price,Canada,0.48802211302211224
Technically Savvy,Price,France,0.44642258913615634
Technically Savvy,Price,India,0.5031049778215855
Technically Savvy,Price,Indonesia,0.5595567867036014
Technically Savvy,Price,Mexico,0.4715514018691592
Technically Savvy,Price,Bolivia,0.46319444444444424
Technically Savvy,Price,Macau,0.6
Technically Savvy,Price,United Kingdom,0.5089651883643295
Technically Savvy,Price,Tunisia,0.38444444444444437
Technically Savvy,Price,Egypt,0.5278688524590163
Technically Savvy,Price,Portugal,0.5923076923076922
Technically Savvy,Price,Uruguay,0.48826815642458127
Technically Savvy,Price,Kenya,0.4744186046511627
Technically Savvy,Price,Germany,0.46010811913504956
Technically Savvy,Price,Philippines,0.5335078534031414
Technically Savvy,Price,Panama,0.5053333333333331
Technically Savvy,Price,Bangladesh,0.5167701863354037
Technically Savvy,Price,Turkey,0.6013157894736842
Technically Savvy,Price,Norway,0.4702479338842973
Technically Savvy,Price,Poland,0.5305882352941177
Technically Savvy,Price,Sweden,0.5063829787234042
Technically Savvy,Price,Serbia,0.5499999999999999
Technically Savvy,Price,Brazil,0.4630235121234427
Technically Savvy,Price,Argentina,0.45657788539144395
Technically Savvy,Price,Latvia,0.5807692307692308
Technically Savvy,Price,Nigeria,0.44100719424460444
Technically Savvy,Price,Italy,0.5313238440785167
Technically Savvy,Price,Sri Lanka,0.5499999999999999
Technically Savvy,Price,Puerto Rico,0.5358974358974359
Technically Savvy,Price,Finland,0.5179245283018867
Technically Savvy,Price,South Africa,0.5234146341463415
Technically Savvy,Price,Luxembourg,0.46321839080459765
Technically Savvy,Price,Israel,0.5469135802469135
Technically Savvy,Price,Nepal,0.3932203389830508
Technically Savvy,Price,Peru,0.43981762917933154
Technically Savvy,Price,Slovenia,0.555813953488372
Technically Savvy,Price,Belgium,0.4073886639676113
Technically Savvy,Price,Pakistan,0.47552447552447563
Technically Savvy,Price,Morocco,0.4362445414847163
Technically Savvy,Price,Russian Federation,0.48383838383838373
Technically Savvy,Price,Martinique,0.4393939393939395
Technically Savvy,Price,Austria,0.4484374999999993
Technically Savvy,Price,Switzerland,0.4151989562948465
Technically Savvy,Price,Algeria,0.35416666666666663
Technically Savvy,Price,Venezuela,0.45623800383877183
Technically Savvy,Price,Ecuador,0.42305630026809676
Technically Savvy,Price,Colombia,0.4830022075055186
Technically Savvy,Price,Costa Rica,0.5375722543352602
Technically Savvy,Price,Spain,0.49807949977668453
Technically Savvy,Price,Reunion,0.3964539007092198
Technically Savvy,Price,Benin,0.31111111111111106
Technically Savvy,Price,Guatemala,0.3994285714285713
Technically Savvy,Price,Dominican Republic,0.42564102564102546
Technically Savvy,Price,Chile,0.5011647254575711
Technically Savvy,Price,Netherlands,0.4624242424242429
Technically Savvy,Price,Croatia,0.5294117647058825
Technically Savvy,Price,Honduras,0.3477272727272727
Technically Savvy,Price,Mauritius,0.5392857142857143
Technically Savvy,Price,Paraguay,0.511926605504587
Technically Savvy,Price,Macedonia,0.5588235294117647
Technically Savvy,Price,Cuba,0.430952380952381
Technically Savvy,Price,Anonymous Proxy,0.4904761904761905
Technically Savvy,Price,Czech Republic,0.5090909090909089
Technically Savvy,Price,Romania,0.5518324607329845
Technically Savvy,Price,Denmark,0.4287037037037036
Technically Savvy,Price,Cameroon,0.3454545454545455
Technically Savvy,Price,New Zealand,0.5569306930693071
Technically Savvy,Price,San Marino,0.6142857142857142
Technically Savvy,Price,Ireland,0.5767857142857143
Technically Savvy,Price,Bahrain,0.43636363636363634
Technically Savvy,Price,Estonia,0.6312500000000001
Technically Savvy,Price,El Salvador,0.523972602739726
Technically Savvy,Price,Australia,0.5371203599550046
Technically Savvy,Price,Hungary,0.5862745098039217
Technically Savvy,Price,Palestinian Territory,0.35
Technically Savvy,Price,Libya,0.1
Technically Savvy,Price,New Caledonia,0.45769230769230773
Technically Savvy,Price,Uganda,0.4758620689655172
Technically Savvy,Price,United Arab Emirates,0.5265822784810126
